"nome","date","newDeaths","deaths","newCases","totalCases","recovered","totalRecovered","populacao","CENTROID_X","CENTROID_Y","deaths_by_totalCases","totalCases_per_100k_inhabitants","deaths_per_100k_inhabitants","meanCases","tendencia_casos","last14AvgCases","meanDeaths","tendencia_obitos","meanRecovered","nrDiasDobraCasos","nrDiasDobraMortes"
"3ª DE","2020-06-28",1,224,78,10743,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.02085078655868938,0,0,260,"Diminuindo","371|348|257|286|207|233|239|211|204|205|220|236|257|260",6,"Crescendo 3",NaN,0,0
"6ª DE","2020-06-28",4,335,165,14500,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.023103448275862068,0,0,581,"Crescendo 3","409|690|415|401|550|415|433|401|424|490|527|553|579|581",12,"Crescendo 3",NaN,0,0
"5ª DE","2020-06-29",26,924,1247,45695,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.020221030747346536,0,0,1868,"Crescendo 3","1283|1124|1375|1595|1160|1265|1302|1405|1629|1698|1731|1780|1826|1868",30,"Diminuindo",NaN,15,0
"3ª DE","2020-06-29",7,231,183,10926,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.02114222954420648,0,0,261,"Diminuindo","348|257|286|207|233|239|211|204|205|220|236|257|260|261",6,"Diminuindo",NaN,0,0
"6ª DE","2020-06-29",16,351,236,14733,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.023824068417837508,0,0,588,"Diminuindo","690|415|401|550|415|433|401|424|490|527|553|579|581|588",12,"Crescendo 2",NaN,0,0
"5ª DE","2020-06-30",53,977,2816,48509,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.020140592467377188,0,0,1984,"Crescendo 2","1124|1375|1595|1160|1265|1302|1405|1629|1698|1731|1780|1826|1868|1984",32,"Crescendo 3",NaN,15,0
"3ª DE","2020-06-30",4,235,369,11296,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.020803824362606232,0,0,271,"Crescendo 3","257|286|207|233|239|211|204|205|220|236|257|260|261|271",5,"Diminuindo",NaN,0,0
"6ª DE","2020-06-30",28,379,908,15645,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.02422499201022691,0,0,597,"Crescendo 3","415|401|550|415|433|401|424|490|527|553|579|581|588|597",15,"Crescendo 2",NaN,15,0
"5ª DE","2020-07-01",19,996,2262,50764,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.019620203293672683,0,0,1922,"Crescendo 3","1375|1595|1160|1265|1302|1405|1629|1698|1731|1780|1826|1868|1984|1922",29,"Crescendo 3",NaN,15,0
"3ª DE","2020-07-01",3,238,376,11676,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.02038369304556355,0,0,287,"Aproximadamente o mesmo","286|207|233|239|211|204|205|220|236|257|260|261|271|287",4,"Diminuindo",NaN,0,0
