"country","state","city","ibgeID","deaths","totalCases","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","_source","date","newCases","newDeaths","lat","lon","nrDiasDobraCasos","nrDiasDobraMortes"
"Brazil","MT","Marcelândia/MT","5105580","0","1","0.00000","9.52472","0.00000","SES","2020-05-23","1","0","-11.0794264","-54.5202451",0,0
"Brazil","CE","Marco/CE","2307809","0","45","0.00000","164.46767","0.00000","MS","2020-05-23","0","0","-3.1221945","-40.1514585",0,0
"Brazil","PI","Marcolândia/PI","2205953","0","4","0.00000","47.10316","0.00000","MS","2020-05-23","0","0","-7.4457162","-40.6622862",0,0
"Brazil","PI","Marcos Parente/PI","2206001","0","3","0.00000","65.94856","0.00000","MS","2020-05-23","0","0","-7.1216428","-43.8892251",0,0
"Brazil","PR","Marechal Cândido Rondon/PR","4114609","0","3","0.00000","5.66636","0.00000","MS","2020-05-23","0","0","-24.5570477","-54.0571457",0,0
"Brazil","AL","Marechal Deodoro/AL","2704708","8","166","15.41396","319.83969","0.04819","SES","2020-05-23","4","0","-9.709715","-35.896731",0,0
"Brazil","ES","Marechal Floriano/ES","3203346","1","48","5.99018","287.52845","0.02083","MS","2020-05-23","0","0","-20.4124966","-40.6749858",0,0
"Brazil","AC","Marechal Thaumaturgo/AC","1200351","0","41","0.00000","217.31065","0.00000","MS","2020-05-23","6","0","-8.9479792","-72.7872614",0,0
"Brazil","SC","Marema/SC","4210555","0","1","0.00000","55.64830","0.00000","SES","2020-05-23","1","0","-26.802361","-52.626445",0,0
"Brazil","PB","Mari/PB","2509107","2","64","9.15877","293.08055","0.03125","MS","2020-05-23","4","0","-7.0580611","-35.3184163",0,0
"Brazil","PR","Maria Helena/PR","4114708","0","0","0.00000","0.00000","0.00000","MS","2020-05-23","0","0","-23.6139395","-53.206135",0,0
"Brazil","MG","Maria da Fé/MG","3139904","0","1","0.00000","7.09471","0.00000","SES","2020-05-23","0","0","-22.3081652","-45.3752771",0,0
"Brazil","PR","Marialva/PR","4114807","0","1","0.00000","2.81722","0.00000","MS","2020-05-23","0","0","-23.4820987","-51.795788",0,0
"Brazil","MG","Mariana/MG","3140001","3","54","4.94039","88.92695","0.05556","SES","2020-05-23","0","0","-20.3781468","-43.4174862",0,0
