ibgeID,centroid_long,centroid_lat,lon,lat,populacao
4100202,-48.82122982138287,-24.783500890558212,-48.9912769,-24.6557863,5919
2305902,-40.87677652005477,-4.573018469777167,-40.7168461,-4.5427141,38166
3531902,-48.15329283331912,-20.688733669975623,-48.052795,-20.7276692,32968
2102200,-43.00177711537773,-3.9003780249397724,-42.9244281,-3.9430944,28678
5203500,-49.87843202115371,-18.18910983258804,-49.739721,-18.2174587,25216
4105201,-49.279741254269624,-24.875365725624725,-49.2615181,-24.8245108,17779
2105401,-44.276236633130345,-3.3876337823884897,-44.3560724,-3.3973569,68203
4109609,-48.76862956261295,-25.81765007966428,-48.5750905,-25.8806192,37067
3121209,-46.77291435983796,-20.35674967248096,-46.8546425,-20.344749,7114
2103257,-47.829948601113,-5.057096894405577,-47.7833531,-5.174655,14697
2930907,-44.1556453917701,-12.479832155225811,-44.0091066,-12.7020751,12518
4200408,-51.612300866158094,-26.764491920292233,-51.5529306,-26.9986047,7145
4318903,-54.89098644437318,-28.41841043941647,-54.9609081,-28.4074546,33468
2306108,-39.81811941318072,-3.865739671220424,-39.7840904,-3.7466828,24156
2904100,-42.72231708395906,-12.7410806885839,-42.7270883,-12.8184859,21508
2916005,-40.3783238504824,-17.115370229568832,-40.3291027,-17.1665806,19405
1720259,-48.36515778246447,-12.577987285997697,-48.2352148,-12.7503331,3082
3108602,-44.439115778870686,-16.24272635291742,-44.430559,-16.2075114,32347
2100204,-44.52831494892098,-2.391425413886272,-44.4154241,-2.4038956,22097
3134707,-40.31369206010526,-16.182414762228195,-40.2948032,-16.1460987,12326
2105104,-43.87045347757266,-2.621108413325122,-44.050061,-2.772065,27113
2111078,-43.76660810595316,-5.040154254821301,-43.8109269,-5.1122323,18543
4208104,-49.89154207906788,-26.47206997124094,-49.9071983,-26.3391899,21669
2110104,-42.879727768994535,-3.345340962468919,-42.563878,-3.4967557,25642
5213053,-48.3086836335089,-15.017084602122804,-48.1602281,-15.0575453,2597
2411403,-36.63489505379539,-5.904666289939593,-36.6502541,-5.9468972,12791
3155504,-46.29885042195306,-19.240015440504724,-46.2410263,-19.196447,12313
1502855,-55.11332492509844,-1.845923168963008,-55.116842,-1.887754,14393
4311304,-51.501661630537356,-28.227444552834587,-51.5270315,-28.2094378,27807
3101102,-41.21398319706167,-19.62523954274916,-41.0615603,-19.4917754,25167
3147907,-46.62194576318682,-20.718677249686387,-46.6094507,-20.719162,114679
1718881,-47.84837914312933,-8.824394908882747,-47.7482956,-8.7752144,3434
5006358,-55.35584911101009,-23.71169666354425,-55.4287213,-23.8927851,14228
2109007,-47.18025256445781,-6.368814086438336,-47.396188,-6.34149,23885
5219407,-53.06945597198029,-17.244621659332793,-53.2012361,-17.3269099,8756
3117306,-48.36139335331888,-19.95974231120706,-48.3803414,-19.9194009,27893
5004502,-54.87377102833961,-22.002625490319417,-54.7874239,-22.0799142,24839
2605103,-37.68160099489051,-8.173869832852116,-37.6401873,-8.0861426,37111
3143104,-47.460842330723544,-18.709277014067375,-47.4958859,-18.7260939,47809
2208403,-41.77153632311481,-4.331138257906509,-41.7785173,-4.2732339,63742
2926657,-40.651942281487074,-15.427119009650655,-40.7411582,-15.4588477,5812
2912400,-42.18198141482088,-11.57272193056803,-42.0083068,-11.6425335,18211
2106359,-45.62853067698149,-4.705039413571159,-45.4539567,-4.6213998,7792
3306107,-43.857923941064136,-22.23470517290649,-43.6996917,-22.2461028,76523
2209757,-45.32166537521022,-10.088250983660853,-45.3032826,-10.0303022,3041
4311155,-54.154548254881085,-28.766774771891768,-54.1199165,-28.6465036,8560
1507151,-48.730643299687024,-5.657590422467047,-48.7291003,-5.5416409,25557
3548054,-50.55430906406128,-20.87298879132714,-50.4953504,-20.9354866,8420
2211001,-42.74067610338814,-5.102587982509227,-42.809588,-5.0896403,864845
4319158,-54.52146439726003,-28.67307038865612,-54.553011,-28.5470756,7673
2206209,-42.77380871190378,-4.240356281939885,-42.8955677,-4.1730384,33760
3138625,-50.64778391522509,-19.407134934580256,-50.5772673,-19.5521959,7536
2908705,-42.05104007365516,-14.92145757844718,-41.971829,-14.902227,17247
5106000,-56.7195952907406,-14.347962889803933,-56.8069287,-14.4523543,5989
2311900,-39.88929103516199,-6.484682932358061,-39.9047802,-6.539564,15819
2203503,-42.193563797120014,-6.184923586732866,-42.1376937,-6.2032654,14602
1716307,-48.988066816835946,-7.5455775673820895,-49.3686216,-7.5416832,4849
